Predicted Class,True Label
CLOUDFLARE,CLOUDFLARE
SKYPE,SKYPE
MSN,MSN
TWITTER,TWITTER
CLOUDFLARE,CLOUDFLARE
CLOUDFLARE,CLOUDFLARE
CLOUDFLARE,CLOUDFLARE
CLOUDFLARE,CLOUDFLARE
SKYPE,SKYPE
YAHOO,YAHOO
HTTP_PROXY,HTTP_PROXY
GMAIL,GMAIL
FACEBOOK,FACEBOOK
GOOGLE,GOOGLE
HTTP_PROXY,HTTP_PROXY
CLOUDFLARE,CLOUDFLARE
FACEBOOK,FACEBOOK
MSN,MSN
CLOUDFLARE,CLOUDFLARE
YAHOO,YAHOO
HTTP_PROXY,HTTP_PROXY
FACEBOOK,FACEBOOK
FACEBOOK,FACEBOOK
HTTP_CONNECT,HTTP_CONNECT
MICROSOFT,MICROSOFT
FACEBOOK,FACEBOOK
MICROSOFT,MICROSOFT
AMAZON,AMAZON
SSL,SSL
MSN,MSN
SSL,SSL
HTTP_CONNECT,HTTP_CONNECT
SSL,SSL
DROPBOX,DROPBOX
HTTP_CONNECT,HTTP_CONNECT
DROPBOX,DROPBOX
HTTP_PROXY,HTTP_PROXY
GMAIL,GMAIL
SSL,SSL
DROPBOX,DROPBOX
WINDOWS_UPDATE,WINDOWS_UPDATE
MSN,MSN
FACEBOOK,FACEBOOK
CLOUDFLARE,CLOUDFLARE
AMAZON,AMAZON
WINDOWS_UPDATE,WINDOWS_UPDATE
MICROSOFT,MICROSOFT
DROPBOX,DROPBOX
MSN,MSN
SSL,SSL
MSN,MSN
TWITTER,TWITTER
FACEBOOK,FACEBOOK
DROPBOX,DROPBOX
MSN,MSN
AMAZON,AMAZON
MSN,MSN
CLOUDFLARE,CLOUDFLARE
GOOGLE,GOOGLE
AMAZON,AMAZON
HTTP_CONNECT,HTTP_CONNECT
WINDOWS_UPDATE,WINDOWS_UPDATE
YOUTUBE,YOUTUBE
YAHOO,YAHOO
HTTP_CONNECT,HTTP_CONNECT
FACEBOOK,FACEBOOK
SSL,SSL
HTTP_PROXY,HTTP_PROXY
YOUTUBE,YOUTUBE
GMAIL,GMAIL
HTTP_PROXY,HTTP_PROXY
DROPBOX,DROPBOX
YAHOO,YAHOO
HTTP_PROXY,HTTP_PROXY
YOUTUBE,YOUTUBE
HTTP_PROXY,HTTP_PROXY
GOOGLE,GOOGLE
SKYPE,SKYPE
SKYPE,SKYPE
HTTP,HTTP
CLOUDFLARE,CLOUDFLARE
CLOUDFLARE,CLOUDFLARE
FACEBOOK,FACEBOOK
MSN,MSN
FACEBOOK,FACEBOOK
HTTP_PROXY,HTTP_PROXY
AMAZON,AMAZON
AMAZON,AMAZON
TWITTER,TWITTER
SKYPE,SKYPE
DROPBOX,DROPBOX
MSN,MSN
YAHOO,YAHOO
MSN,MSN
FACEBOOK,FACEBOOK
TWITTER,TWITTER
DROPBOX,DROPBOX
YOUTUBE,YOUTUBE
GMAIL,GMAIL
HTTP_PROXY,HTTP_PROXY
YAHOO,YAHOO
MSN,MSN
GMAIL,GMAIL
DROPBOX,DROPBOX
MICROSOFT,MICROSOFT
WINDOWS_UPDATE,WINDOWS_UPDATE
FACEBOOK,FACEBOOK
SSL,SSL
TWITTER,TWITTER
SKYPE,SKYPE
YAHOO,YAHOO
YAHOO,YAHOO
YOUTUBE,YOUTUBE
HTTP,HTTP
HTTP,HTTP
MSN,MSN
FACEBOOK,FACEBOOK
SKYPE,SKYPE
YOUTUBE,YOUTUBE
TWITTER,TWITTER
HTTP,HTTP
AMAZON,AMAZON
HTTP_CONNECT,HTTP_CONNECT
YAHOO,YAHOO
WINDOWS_UPDATE,WINDOWS_UPDATE
YAHOO,YAHOO
AMAZON,AMAZON
TWITTER,TWITTER
CLOUDFLARE,CLOUDFLARE
HTTP_PROXY,HTTP_PROXY
HTTP,HTTP
GOOGLE,GOOGLE
YAHOO,YAHOO
HTTP_CONNECT,HTTP_CONNECT
GMAIL,GMAIL
MSN,MSN
FACEBOOK,FACEBOOK
MSN,MSN
MSN,MSN
WINDOWS_UPDATE,WINDOWS_UPDATE
YAHOO,YAHOO
DROPBOX,DROPBOX
FACEBOOK,FACEBOOK
YAHOO,YAHOO
FACEBOOK,FACEBOOK
GOOGLE,GOOGLE
GOOGLE,GOOGLE
HTTP_PROXY,HTTP_PROXY
HTTP_PROXY,HTTP_PROXY
TWITTER,TWITTER
YAHOO,YAHOO
DROPBOX,DROPBOX
AMAZON,AMAZON
MSN,MSN
CLOUDFLARE,CLOUDFLARE
HTTP_PROXY,HTTP_PROXY
HTTP_PROXY,HTTP_PROXY
GOOGLE,GOOGLE
GMAIL,GMAIL
TWITTER,TWITTER
TWITTER,TWITTER
YAHOO,YAHOO
SKYPE,SKYPE
HTTP_CONNECT,HTTP_CONNECT
GOOGLE,GOOGLE
AMAZON,AMAZON
TWITTER,TWITTER
TWITTER,TWITTER
HTTP_CONNECT,HTTP_CONNECT
AMAZON,AMAZON
WINDOWS_UPDATE,WINDOWS_UPDATE
AMAZON,AMAZON
YAHOO,YAHOO
MICROSOFT,MICROSOFT
HTTP_CONNECT,HTTP_CONNECT
WINDOWS_UPDATE,WINDOWS_UPDATE
CLOUDFLARE,CLOUDFLARE
GMAIL,GMAIL
MICROSOFT,MICROSOFT
HTTP_CONNECT,HTTP_CONNECT
YOUTUBE,YOUTUBE
TWITTER,TWITTER
MICROSOFT,MICROSOFT
SKYPE,SKYPE
MICROSOFT,MICROSOFT
WINDOWS_UPDATE,WINDOWS_UPDATE
HTTP,HTTP
GMAIL,GMAIL
